year,month,day,P(mm/d),E(mm/d),Q(mm/d),T(°C)
2005,4,5,6.70E-02,1.55E+00,1.31E-01,9.88E+00
2005,4,6,2.48E+00,1.54E+00,1.31E-01,8.82E+00
2005,4,7,4.36E+00,1.40E+00,1.32E-01,7.74E+00
2005,4,8,3.31E+00,1.53E+00,1.80E-01,8.87E+00
2005,4,9,2.08E+00,1.22E+00,1.51E-01,5.51E+00
2005,4,10,6.70E-02,1.09E+00,1.35E-01,3.58E+00
2005,4,11,0.00E+00,1.22E+00,1.31E-01,5.07E+00
2005,4,12,2.68E-01,1.45E+00,1.16E-01,7.35E+00
2005,4,13,0.00E+00,1.54E+00,1.25E-01,8.26E+00
2005,4,14,0.00E+00,1.68E+00,1.22E-01,9.69E+00
2005,4,15,0.00E+00,1.75E+00,1.13E-01,1.04E+01
2005,4,16,3.85E+00,1.59E+00,1.12E-01,8.65E+00
2005,4,17,2.66E+00,1.51E+00,1.14E-01,7.80E+00
2005,4,18,5.48E-01,1.79E+00,1.13E-01,1.01E+01
2005,4,19,0.00E+00,1.75E+00,1.12E-01,1.02E+01
2005,4,20,3.87E+00,1.60E+00,1.12E-01,8.27E+00
2005,4,21,1.93E-01,1.42E+00,9.51E-02,6.69E+00
2005,4,22,0.00E+00,1.38E+00,9.37E-02,6.14E+00
2005,4,23,0.00E+00,1.46E+00,9.37E-02,6.91E+00
2005,4,24,1.71E+00,1.51E+00,9.39E-02,7.85E+00
2005,4,25,9.94E-01,1.94E+00,1.07E-01,1.12E+01
2005,4,26,1.40E+01,1.82E+00,2.82E-01,1.01E+01
2005,4,27,6.69E+00,1.88E+00,3.38E-01,1.06E+01
2005,4,28,6.80E-01,1.89E+00,5.16E-01,1.04E+01
2005,4,29,8.68E-02,1.82E+00,2.17E-01,1.02E+01
2005,4,30,8.30E-01,2.49E+00,1.64E-01,1.51E+01
2005,5,1,0.00E+00,2.65E+00,1.40E-01,1.57E+01
2005,5,2,6.70E-02,2.98E+00,1.24E-01,1.78E+01
2005,5,3,2.64E-01,2.73E+00,1.17E-01,1.63E+01
2005,5,4,1.29E+00,2.25E+00,1.12E-01,1.34E+01
2005,5,5,6.00E+00,1.96E+00,1.17E-01,1.06E+01
2005,5,6,1.20E+00,1.97E+00,1.12E-01,1.05E+01
2005,5,7,2.19E+00,1.84E+00,1.04E-01,9.79E+00
2005,5,8,6.92E+00,1.54E+00,1.10E-01,7.21E+00
2005,5,9,9.22E-01,1.43E+00,1.12E-01,6.24E+00
2005,5,10,6.70E-02,1.50E+00,9.80E-02,6.12E+00
2005,5,11,0.00E+00,1.53E+00,9.37E-02,6.21E+00
2005,5,12,6.70E-02,1.62E+00,8.49E-02,6.51E+00
2005,5,13,2.97E-02,1.96E+00,8.43E-02,9.03E+00
2005,5,14,3.26E-01,2.13E+00,9.25E-02,1.02E+01
2005,5,15,1.24E+01,2.09E+00,1.13E-01,9.98E+00
2005,5,16,2.09E+00,2.07E+00,1.40E-01,9.56E+00
2005,5,17,0.00E+00,2.12E+00,1.14E-01,1.00E+01
2005,5,18,0.00E+00,1.99E+00,1.12E-01,7.81E+00
2005,5,19,6.70E-02,1.84E+00,9.74E-02,7.00E+00
2005,5,20,0.00E+00,2.13E+00,9.37E-02,1.02E+01
2005,5,21,8.00E+00,2.98E+00,8.75E-02,1.55E+01
2005,5,22,8.14E-01,2.70E+00,1.00E-01,1.38E+01
2005,5,23,6.70E-02,2.48E+00,9.37E-02,1.28E+01
2005,5,24,2.81E-01,2.46E+00,9.33E-02,1.21E+01
2005,5,25,2.68E-01,2.44E+00,8.96E-02,1.22E+01
2005,5,26,2.68E-01,3.29E+00,7.98E-02,1.66E+01
2005,5,27,1.34E-01,3.75E+00,7.03E-02,1.92E+01
2005,5,28,6.70E-02,4.23E+00,6.75E-02,2.12E+01
2005,5,29,5.36E-01,4.32E+00,6.50E-02,2.17E+01
2005,5,30,1.72E+01,4.16E+00,6.81E-02,2.00E+01
2005,5,31,2.74E+00,2.54E+00,1.49E-01,1.24E+01
2005,6,1,2.01E-01,2.30E+00,9.37E-02,1.08E+01
2005,6,2,1.34E-01,2.71E+00,8.10E-02,1.30E+01
2005,6,3,0.00E+00,3.04E+00,7.71E-02,1.53E+01
2005,6,4,7.21E+00,3.26E+00,7.65E-02,1.68E+01
